Node Name,Op Type,Activation,Weights,Bias
/model.4/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/cv1/act/Mul,Mul,UINT16,,
/model.4/m.1/cv2/act/Mul,Mul,UINT16,,
/model.4/m.1/m/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/m/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/m/m.0/cv1/act/Mul,Mul,UINT16,,
/model.4/m.1/m/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/m/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/m/m.0/cv2/act/Mul,Mul,UINT16,,
/model.4/m.1/m/m.0/Add,Add,UINT16,,
/model.4/m.1/m/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/m/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/m/m.1/cv1/act/Mul,Mul,UINT16,,
/model.4/m.1/m/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/m/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/m/m.1/cv2/act/Mul,Mul,UINT16,,
/model.4/m.1/m/m.1/Add,Add,UINT16,,
/model.4/m.1/Concat,Concat,UINT16,,
/model.4/m.1/cv3/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/m.1/cv3/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.1/cv3/act/Mul,Mul,UINT16,,
/model.4/Concat,Concat,UINT16,,
/model.4/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.4/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.4/cv2/act/Mul,Mul,UINT16,,
/model.5/conv/Conv,Conv,UINT16,INT16,INT32
/model.5/act/Sigmoid,Sigmoid,UINT16,,
/model.5/act/Mul,Mul,UINT16,,
/model.6/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/cv1/act/Mul,Mul,UINT16,,
/model.6/Split_output_0_0,Slice,UINT16,,
/model.6/Split_output_1_1,Slice,UINT16,,
/model.6/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/cv1/act/Mul,Mul,UINT16,,
/model.6/m.0/cv2/act/Mul,Mul,UINT16,,
/model.6/m.0/m/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/m/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/m/m.0/cv1/act/Mul,Mul,UINT16,,
/model.6/m.0/m/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/m/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/m/m.0/cv2/act/Mul,Mul,UINT16,,
/model.6/m.0/m/m.0/Add,Add,UINT16,,
/model.6/m.0/m/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/m/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/m/m.1/cv1/act/Mul,Mul,UINT16,,
/model.6/m.0/m/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/m/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/m/m.1/cv2/act/Mul,Mul,UINT16,,
/model.6/m.0/m/m.1/Add,Add,UINT16,,
/model.6/m.0/Concat,Concat,UINT16,,
/model.6/m.0/cv3/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.0/cv3/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.0/cv3/act/Mul,Mul,UINT16,,
/model.6/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/cv1/act/Mul,Mul,UINT16,,
/model.6/m.1/cv2/act/Mul,Mul,UINT16,,
/model.6/m.1/m/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/m/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/m/m.0/cv1/act/Mul,Mul,UINT16,,
/model.6/m.1/m/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/m/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/m/m.0/cv2/act/Mul,Mul,UINT16,,
/model.6/m.1/m/m.0/Add,Add,UINT16,,
/model.6/m.1/m/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/m/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/m/m.1/cv1/act/Mul,Mul,UINT16,,
/model.6/m.1/m/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/m/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/m/m.1/cv2/act/Mul,Mul,UINT16,,
/model.6/m.1/m/m.1/Add,Add,UINT16,,
/model.6/m.1/Concat,Concat,UINT16,,
/model.6/m.1/cv3/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/m.1/cv3/act/Sigmoid,Sigmoid,UINT16,,
/model.6/m.1/cv3/act/Mul,Mul,UINT16,,
/model.6/Concat,Concat,UINT16,,
/model.6/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.6/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.6/cv2/act/Mul,Mul,UINT16,,
/model.7/conv/Conv,Conv,UINT16,INT16,INT32
/model.7/act/Sigmoid,Sigmoid,UINT16,,
/model.7/act/Mul,Mul,UINT16,,
/model.8/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.8/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.8/cv1/act/Mul,Mul,UINT16,,
/model.8/Split_output_0_0,Slice,UINT16,,
/model.8/Split_output_1_1,Slice,UINT16,,
/model.8/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.8/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.8/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.8/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.8/m.0/cv1/act/Mul,Mul,UINT16,,
/model.8/m.0/cv2/act/Mul,Mul,UINT16,,
/model.8/m.0/m/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.8/m.0/m/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.8/m.0/m/m.0/cv1/act/Mul,Mul,UINT16,,
